County,Date,Predicted EVs
Adams,2024-03-29,11.65
Asotin,2024-03-29,29.21
Klickitat,2024-03-29,240.98
Wahkiakum,2024-03-29,17.41
Lewis,2024-03-29,22.26
Lincoln,2024-03-29,41.59
Mason,2024-03-29,27.11
Okanogan,2024-03-29,230.75
Pacific,2024-03-29,7.8
Thurston,2024-03-29,2711.15
Snohomish,2024-03-29,22302.98
Stevens,2024-03-29,226.72
Skamania,2024-03-29,163.5
Kittitas,2024-03-29,508.09
San Juan,2024-03-29,111.21
Pierce,2024-03-29,10236.04
Pend Oreille,2024-03-29,13.99
Skagit,2024-03-29,239.89
Kitsap,2024-03-29,2784.91
Douglas,2024-03-29,276.25
Cowlitz,2024-03-29,847.09
Columbia,2024-03-29,15.51
Ferry,2024-03-29,31.84
Whitman,2024-03-29,8.78
Clallam,2024-03-29,106.55
Chelan,2024-03-29,173.71
Clark,2024-03-29,140.2
Benton,2024-03-29,1947.84
King,2024-03-29,1657.11
Spokane,2024-03-29,3496.04
Walla Walla,2024-03-29,14.62
Jefferson,2024-03-29,908.2
Whatcom,2024-03-29,1506.0
Grays Harbor,2024-03-29,606.05
Grant,2024-03-29,98.75
Garfield,2024-03-29,5.41
Franklin,2024-03-29,485.2
Island,2024-03-29,1481.42
Yakima,2024-03-29,843.35
Adams,2024-04-29,21.96
Asotin,2024-04-29,41.2
Klickitat,2024-04-29,240.49
Wahkiakum,2024-04-29,25.15
Lewis,2024-04-29,211.85
Lincoln,2024-04-29,31.15
Mason,2024-04-29,249.72
Okanogan,2024-04-29,260.08
Pacific,2024-04-29,63.4
Thurston,2024-04-29,2566.15
Snohomish,2024-04-29,10568.8
Stevens,2024-04-29,267.58
Skamania,2024-04-29,177.07
Kittitas,2024-04-29,504.13
San Juan,2024-04-29,291.26
Pierce,2024-04-29,5923.74
Pend Oreille,2024-04-29,22.63
Skagit,2024-04-29,667.89
Kitsap,2024-04-29,2661.28
Douglas,2024-04-29,265.75
Cowlitz,2024-04-29,694.94
Columbia,2024-04-29,21.21
Ferry,2024-04-29,33.95
Whitman,2024-04-29,84.37
Clallam,2024-04-29,300.71
Chelan,2024-04-29,337.91
Clark,2024-04-29,5318.04
Benton,2024-04-29,1436.68
King,2024-04-29,21423.3
Spokane,2024-04-29,2714.75
Walla Walla,2024-04-29,145.58
Jefferson,2024-04-29,801.89
Whatcom,2024-04-29,1666.62
Grays Harbor,2024-04-29,559.16
Grant,2024-04-29,190.57
Garfield,2024-04-29,8.18
Franklin,2024-04-29,452.66
Island,2024-04-29,1204.69
Yakima,2024-04-29,761.56
Adams,2024-05-29,26.03
Asotin,2024-05-29,42.94
Klickitat,2024-05-29,230.75
Wahkiakum,2024-05-29,31.69
